family,variant,symbol,timeframe,requested_range,actual_range,net_perf_pct,asset_symbol,asset_perf_pct,excess_vs_asset_pct,beat_asset,strategy_max_drawdown_pct,asset_max_drawdown_pct,positions,win_rate_pct,notes
Moving-average trend,"SMA8/SMA126 cross, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,32950.13,SOXL,28725.16,4224.97,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 state, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,32950.13,SOXL,28725.16,4224.97,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
SMH/SOXL relative-strength rotation,"Choose stronger of SMH/SOXL by 6-month return if positive, else BIL",SMH/SOXL/BIL,"Daily signal, monthly rebalance",2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,7784.62,SMH,4807.43,2977.19,True,-87.32,-45.3,49,61.22,Monthly ETF rotation parameter search; benchmark listed in asset_symbol.
Moving-average trend,"SMA3/SMA150 cross, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 cross, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 cross, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 state, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 state, 20% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 state, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31694.14,SOXL,28725.16,2968.98,True,-63.59,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 cross, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31320.0,SOXL,28725.16,2594.84,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 cross, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31320.0,SOXL,28725.16,2594.84,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 state, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31320.0,SOXL,28725.16,2594.84,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 state, 30% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,31320.0,SOXL,28725.16,2594.84,True,-65.32,-90.46,25,52.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA63/SMA200 cross, no stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,30767.2,SOXL,28725.16,2042.04,True,-80.38,-90.46,8,75.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA3/SMA150 state, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,30230.3,SOXL,28725.16,1505.15,True,-62.24,-90.46,35,40.0,Daily MA parameter search; optimized in-sample; no costs/slippage.
Moving-average trend,"SMA8/SMA126 state, 10% stop",SOXL,1d,2010-03-11 to 2026-05-20,2010-03-11 00:00:00 to 2026-05-20 00:00:00,30068.62,SOXL,28725.16,1343.46,True,-66.39,-90.46,33,42.42,Daily MA parameter search; optimized in-sample; no costs/slippage.
