rank,family,variant,rebalance,requested_range,actual_range,net_perf_pct,cagr_pct,max_drawdown_pct,sharpe,positions,win_rate_pct,avg_trade_pct,median_trade_days,soxl_return_pct,soxl_max_drawdown_pct,tqqq_return_pct,tqqq_max_drawdown_pct,soxl_only_net_pct,soxl_only_max_drawdown_pct,excess_vs_soxl_only_pct,beats_soxl_only,notes
11,Relative momentum rotation,"84d return_minus_half_vol, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,535148.31,71.87,-80.03,1.12,140,49.29,10.43,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,494078.51,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
12,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,527918.42,71.73,-79.06,1.12,140,49.29,10.67,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,486848.62,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
13,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,511536.78,71.38,-77.87,1.12,198,48.99,6.81,6.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,470466.98,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
14,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA200, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,504377.26,71.23,-77.96,1.12,308,50.97,4.2,3.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,463307.46,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
15,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, 2% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,493201.25,70.99,-80.22,1.11,136,46.32,11.56,6.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,452131.45,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
16,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,490149.59,70.92,-80.45,1.12,234,51.28,5.64,5.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,449079.79,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
17,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA50, 5% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,472892.52,70.26,-85.33,1.11,64,57.81,25.04,60.5,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,431822.72,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
18,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,471526.0,70.62,-81.05,1.11,154,48.7,8.55,7.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,430456.21,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
19,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA50, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,464045.74,70.33,-79.65,1.11,174,51.15,8.18,7.5,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,422975.95,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
20,Relative momentum rotation,"42d return_minus_half_vol, skip 21d, chosen/alternate above SMA50, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-06-11 to 2026-05-20,462886.45,69.81,-80.22,1.12,159,49.06,8.99,6.0,33908.38,-90.46,34470.73,-81.66,41854.25,-66.18,421032.2,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
21,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,460755.01,69.98,-80.08,1.11,134,52.24,11.65,6.5,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,419685.21,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
22,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,451060.31,69.75,-79.1,1.11,158,55.7,8.89,10.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,409990.51,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
23,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,448294.46,69.96,-83.72,1.1,128,48.44,11.06,8.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,407224.66,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
24,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA100, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,443697.41,69.85,-80.03,1.11,142,47.89,10.36,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,402627.61,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
25,Relative momentum rotation,"63d return_minus_vol, skip 21d, chosen/alternate above SMA200, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,443071.71,69.84,-75.65,1.13,269,54.28,4.38,4.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,402001.91,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
26,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA200, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,441118.66,69.9,-80.22,1.1,132,51.52,10.64,8.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,400048.86,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
27,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,439967.04,69.87,-81.05,1.1,150,49.33,9.11,7.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,398897.24,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
28,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,436661.86,69.68,-81.02,1.1,148,45.27,10.54,6.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,395592.06,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
29,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA100, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,430946.32,69.65,-83.25,1.1,190,50.53,7.22,6.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,389876.52,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
30,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA200, 5% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,429802.41,69.51,-83.72,1.1,128,46.88,11.78,8.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,388732.61,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
31,Relative momentum rotation,"21d return, skip 21d, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-05-12 to 2026-05-20,434046.33,68.67,-77.05,1.08,245,48.57,6.91,7.0,26300.29,-90.46,27559.06,-81.66,48461.05,-66.18,385585.27,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
32,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,424930.78,69.39,-77.87,1.11,236,52.12,5.77,5.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,383860.98,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
33,Relative momentum rotation,"84d return_minus_half_vol, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,424449.29,69.38,-79.33,1.1,182,50.55,7.36,6.5,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,383379.49,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
34,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,423535.2,69.46,-80.22,1.1,136,52.21,10.37,8.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,382465.4,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
35,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, 5% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,422726.57,69.06,-83.73,1.1,42,76.19,31.55,90.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,381656.77,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
36,Relative momentum rotation,"42d return_over_vol, skip 10d, chosen/alternate above SMA50, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-05-26 to 2026-05-20,425055.66,68.66,-88.4,1.08,95,64.21,16.54,30.0,34537.35,-90.46,36910.51,-81.66,48461.05,-66.18,376594.61,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
37,Relative momentum rotation,"84d return_minus_half_vol, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,410230.76,69.02,-79.06,1.1,144,50.0,9.39,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,369160.96,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
38,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,402574.37,68.81,-80.45,1.1,278,52.88,4.87,5.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,361504.57,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
39,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA200, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,401672.54,68.79,-80.87,1.1,232,50.43,6.02,4.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,360602.74,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
40,Relative momentum rotation,"42d return, skip 10d, chosen/alternate above SMA50, 2% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-05-26 to 2026-05-20,407821.75,68.23,-80.26,1.08,53,75.47,25.97,92.0,34537.35,-90.46,36910.51,-81.66,48461.05,-66.18,359360.7,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
41,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA50, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,395668.38,68.74,-81.05,1.09,249,49.8,5.06,5.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,354598.58,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
42,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA100, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,394936.23,68.72,-80.22,1.1,140,55.71,10.14,8.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,353866.43,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
43,Relative momentum rotation,"84d return_minus_half_vol, 5% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,392616.25,68.55,-83.72,1.09,128,47.66,10.87,8.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,351546.46,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
44,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,390880.63,68.61,-84.99,1.09,186,52.69,7.61,6.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,349810.83,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
45,Relative momentum rotation,"63d return_minus_vol, skip 21d, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,390475.14,68.49,-77.97,1.11,263,56.27,4.56,5.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,349405.34,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
46,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,389851.86,68.47,-80.22,1.09,154,48.05,9.95,6.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,348782.06,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
47,Relative momentum rotation,"21d return, skip 21d, chosen/alternate above SMA50, 2% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-05-12 to 2026-05-20,396598.23,67.72,-76.86,1.07,239,48.95,5.88,8.0,26300.29,-90.46,27559.06,-81.66,48461.05,-66.18,348137.17,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
48,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA200, 5% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,388913.0,68.18,-83.73,1.09,40,75.0,33.32,91.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,347843.2,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
49,Relative momentum rotation,"63d return_minus_vol, skip 21d, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,388411.4,68.43,-75.65,1.12,207,53.62,5.73,6.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,347341.6,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
50,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA100, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,387256.82,68.4,-80.52,1.09,358,53.35,3.57,4.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,346187.02,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
51,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA50, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,386197.54,68.37,-80.66,1.09,176,51.14,7.9,7.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,345127.74,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
52,Relative momentum rotation,"42d return, skip 10d, chosen/alternate above SMA50, 2% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-05-26 to 2026-05-20,393414.24,67.85,-80.9,1.07,103,65.05,15.96,31.0,34537.35,-90.46,36910.51,-81.66,48461.05,-66.18,344953.18,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
53,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,385385.05,68.35,-77.96,1.1,318,52.52,4.04,4.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,344315.25,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
54,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,383696.99,68.41,-81.89,1.09,138,55.8,10.16,7.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,342627.2,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
55,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,382237.45,68.26,-80.22,1.09,142,47.18,10.99,6.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,341167.65,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
56,Relative momentum rotation,"84d return_minus_half_vol, skip 5d, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-20 to 2026-05-20,379287.81,68.29,-85.26,1.09,184,52.72,7.93,6.0,32445.33,-90.46,35537.43,-81.66,41069.8,-66.18,338218.01,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
57,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, chosen/alternate above SMA100, 5% hysteresis",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,377252.7,67.85,-84.37,1.09,42,73.81,31.1,91.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,336182.9,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
58,Relative momentum rotation,"63d return_minus_vol, skip 21d, chosen/alternate above SMA100, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,373729.57,68.03,-77.97,1.11,327,57.49,3.65,4.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,332659.77,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
59,Relative momentum rotation,"63d return_minus_half_vol, skip 10d, 5% hysteresis, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,366031.01,67.54,-84.82,1.09,78,58.97,19.12,42.5,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,324961.21,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
60,Relative momentum rotation,"63d return_minus_vol, chosen/alternate above SMA100, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-06-11 to 2026-05-20,364409.9,67.28,-79.92,1.1,126,49.21,12.07,4.5,33908.38,-90.46,34470.73,-81.66,41854.25,-66.18,322555.64,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
61,Relative momentum rotation,"63d return_over_vol, skip 10d, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-06-25 to 2026-05-20,363066.74,67.45,-90.64,1.07,215,52.09,7.6,7.0,33468.63,-90.46,34842.88,-81.66,41069.8,-66.18,321996.94,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
62,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,361754.83,67.68,-77.87,1.09,198,49.49,6.71,6.5,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,320685.03,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
63,Relative momentum rotation,"42d return_minus_half_vol, skip 21d, chosen/alternate above SMA50, switch on 20% stop",monthly,2010-03-11 to 2026-05-20,2010-06-11 to 2026-05-20,360293.19,67.16,-84.4,1.1,99,59.6,14.34,28.0,33908.38,-90.46,34470.73,-81.66,41854.25,-66.18,318438.94,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
64,Relative momentum rotation,"84d return_minus_half_vol, skip 10d, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-27 to 2026-05-20,358249.71,67.79,-82.71,1.09,224,50.89,6.1,4.0,30591.6,-90.46,32902.12,-81.66,41069.8,-66.18,317179.91,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
65,Relative momentum rotation,"42d return, skip 10d, chosen/alternate above SMA50, 2% hysteresis, switch on 10% stop",monthly,2010-03-11 to 2026-05-20,2010-05-26 to 2026-05-20,364062.48,67.04,-79.07,1.06,181,51.93,9.12,7.0,34537.35,-90.46,36910.51,-81.66,48461.05,-66.18,315601.43,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
66,Relative momentum rotation,"42d return, skip 10d, chosen/alternate above SMA50, 2% hysteresis, switch on 30% stop",monthly,2010-03-11 to 2026-05-20,2010-05-26 to 2026-05-20,363434.12,67.02,-81.83,1.07,79,63.29,20.19,57.0,34537.35,-90.46,36910.51,-81.66,48461.05,-66.18,314973.06,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
67,Relative momentum rotation,"84d return_minus_half_vol, skip 10d, chosen/alternate above SMA200, 2% hysteresis, switch on 10% stop",weekly,2010-03-11 to 2026-05-20,2010-07-27 to 2026-05-20,354696.98,67.68,-80.75,1.09,148,50.68,10.1,7.0,30591.6,-90.46,32902.12,-81.66,41069.8,-66.18,313627.18,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
68,Relative momentum rotation,"63d return_minus_half_vol, skip 21d, chosen/alternate above SMA50, 5% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,352592.53,67.41,-77.87,1.09,316,52.22,3.97,5.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,311522.73,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
69,Relative momentum rotation,"84d return_minus_half_vol, chosen/alternate above SMA100, 2% hysteresis, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,352254.25,67.4,-81.73,1.08,220,50.45,6.36,5.5,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,311184.45,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
70,Relative momentum rotation,"84d return_minus_half_vol, switch on 10% stop",daily,2010-03-11 to 2026-05-20,2010-07-13 to 2026-05-20,350312.87,67.34,-80.87,1.09,236,50.0,5.66,4.0,30967.21,-90.46,35142.37,-81.66,41069.8,-66.18,309243.07,True,Always invested in SOXL or TQQQ; signal uses prior-close data; no costs/slippage.
