strategy,universe,top_n,signal_date,trade_date,action,ticker,security,index_date_added,price,old_weight,new_weight,rank,score,skipped_not_yet_index_before_buy,equity_before_trade
S&P 500 Top1 PIT membership,S&P 500,1,2024-03-28,2024-04-01,SELL,AMD,Advanced Micro Devices,2017-03-20,180.10000610351562,1.0,0.0,,,,2.167600501283831
S&P 500 Top1 PIT membership,S&P 500,1,2024-03-28,2024-04-01,BUY,SMCI,Supermicro,2024-03-18,101.0,0.0,1.0,1,2.1705366252933804,0,2.167600501283831
S&P 500 Top1 PIT membership,S&P 500,1,2024-07-31,2024-08-01,SELL,SMCI,Supermicro,2024-03-18,70.45600128173828,1.0,0.0,,,,1.5120837989777236
S&P 500 Top1 PIT membership,S&P 500,1,2024-07-31,2024-08-01,BUY,VST,Vistra Corp.,2024-05-08,78.62466178450363,0.0,1.0,1,1.131203239610326,1,1.5120837989777236
S&P 500 Top1 PIT membership,S&P 500,1,2024-08-30,2024-09-03,SELL,VST,Vistra Corp.,2024-05-08,84.08526085347886,1.0,0.0,,,,1.6171002556149674
S&P 500 Top1 PIT membership,S&P 500,1,2024-08-30,2024-09-03,BUY,MMM,3M,1957-03-04,129.27460604186214,0.0,1.0,1,0.6580514637943369,1,1.6171002556149674
S&P 500 Top1 PIT membership,S&P 500,1,2024-09-30,2024-10-01,SELL,MMM,3M,1957-03-04,132.18064732179636,1.0,0.0,,,,1.6534520205941432
S&P 500 Top1 PIT membership,S&P 500,1,2024-09-30,2024-10-01,BUY,HWM,Howmet Aerospace,2016-10-21,99.54228521162896,0.0,1.0,1,0.4688255780936972,2,1.6534520205941432
S&P 500 Top1 PIT membership,S&P 500,1,2024-10-31,2024-11-01,SELL,HWM,Howmet Aerospace,2016-10-21,100.15956044692318,1.0,0.0,,,,1.6637053012264895
S&P 500 Top1 PIT membership,S&P 500,1,2024-10-31,2024-11-01,BUY,FICO,Fair Isaac,2023-03-20,1995.25,0.0,1.0,1,0.6631570556348803,2,1.6637053012264895
S&P 500 Top1 PIT membership,S&P 500,1,2024-11-29,2024-12-02,SELL,FICO,Fair Isaac,2023-03-20,2376.669921875,1.0,0.0,,,,1.9817458204681027
S&P 500 Top1 PIT membership,S&P 500,1,2024-11-29,2024-12-02,BUY,PLTR,Palantir Technologies,2024-09-23,67.44000244140625,0.0,1.0,1,1.0152213105033319,2,1.9817458204681027
S&P 500 Top2 PIT membership,S&P 500,2,2019-12-31,2020-01-02,BUY,TGT,Target Corporation,1976-12-31,107.7088121789748,0.0,0.5,1,0.45585122228246133,5,1.0
S&P 500 Top2 PIT membership,S&P 500,2,2019-12-31,2020-01-02,BUY,LRCX,Lam Research,2012-06-29,27.51941363943509,0.0,0.5,2,0.43261125081564944,5,1.0
S&P 500 Top2 PIT membership,S&P 500,2,2020-01-31,2020-02-03,SELL,LRCX,Lam Research,2012-06-29,27.91204132250672,0.5,0.0,,,,0.9374058495698171
S&P 500 Top2 PIT membership,S&P 500,2,2020-01-31,2020-02-03,BUY,AMD,Advanced Micro Devices,2017-03-20,46.400001525878906,0.0,0.5,2,0.5358338805409564,2,0.9374058495698171
S&P 500 Top2 PIT membership,S&P 500,2,2020-02-28,2020-03-02,SELL,AMD,Advanced Micro Devices,2017-03-20,47.41999816894531,0.5,0.0,,,,0.9229773604392995
S&P 500 Top2 PIT membership,S&P 500,2,2020-02-28,2020-03-02,SELL,TGT,Target Corporation,1976-12-31,86.98389586619886,0.5,0.0,,,,0.9229773604392995
S&P 500 Top2 PIT membership,S&P 500,2,2020-02-28,2020-03-02,BUY,GE,GE Aerospace,1957-03-04,54.26231002807617,0.0,0.5,1,0.6329638723882893,1,0.9229773604392995
S&P 500 Top2 PIT membership,S&P 500,2,2020-02-28,2020-03-02,BUY,SWKS,Skyworks Solutions,2015-03-12,86.99688004997513,0.0,0.5,2,0.614012184959845,1,0.9229773604392995
S&P 500 Top2 PIT membership,S&P 500,2,2020-03-31,2020-04-01,SELL,GE,GE Aerospace,1957-03-04,36.4369118768414,0.5,0.0,,,,0.7009196263806989
S&P 500 Top2 PIT membership,S&P 500,2,2020-03-31,2020-04-01,SELL,SWKS,Skyworks Solutions,2015-03-12,74.14791682504112,0.5,0.0,,,,0.7009196263806989
S&P 500 Top2 PIT membership,S&P 500,2,2020-03-31,2020-04-01,BUY,REGN,Regeneron Pharmaceuticals,2013-05-01,480.8912585361074,0.0,0.5,1,0.6753785948526982,3,0.7009196263806989
S&P 500 Top2 PIT membership,S&P 500,2,2020-03-31,2020-04-01,BUY,AMD,Advanced Micro Devices,2017-03-20,44.18000030517578,0.0,0.5,2,0.6371162283262788,3,0.7009196263806989
S&P 500 Top2 PIT membership,S&P 500,2,2020-04-30,2020-05-01,SELL,AMD,Advanced Micro Devices,2017-03-20,51.06999969482422,0.5,0.0,,,,0.7880185397022077
S&P 500 Top2 PIT membership,S&P 500,2,2020-04-30,2020-05-01,BUY,GEN,Gen Digital,2003-03-25,18.478003026738413,0.0,0.5,2,0.41757740536835897,4,0.7880185397022077
S&P 500 Top2 PIT membership,S&P 500,2,2020-05-29,2020-06-01,SELL,GEN,Gen Digital,2003-03-25,19.763280738601303,0.5,0.0,,,,0.8768041359288805
S&P 500 Top2 PIT membership,S&P 500,2,2020-05-29,2020-06-01,SELL,REGN,Regeneron Pharmaceuticals,2013-05-01,600.9401860123018,0.5,0.0,,,,0.8768041359288805
S&P 500 Top2 PIT membership,S&P 500,2,2020-05-29,2020-06-01,BUY,NEM,Newmont,1969-06-30,49.50257104907538,0.0,0.5,1,0.6452304565943132,3,0.8768041359288805
S&P 500 Top2 PIT membership,S&P 500,2,2020-05-29,2020-06-01,BUY,DXCM,Dexcom,2020-05-12,95.625,0.0,0.5,2,0.5417949298355862,3,0.8768041359288805
S&P 500 Top2 PIT membership,S&P 500,2,2020-06-30,2020-07-01,SELL,NEM,Newmont,1969-06-30,52.09336770807269,0.5,0.0,,,,0.9326431736671873
S&P 500 Top2 PIT membership,S&P 500,2,2020-06-30,2020-07-01,BUY,REGN,Regeneron Pharmaceuticals,2013-05-01,620.8059432254903,0.0,0.5,2,0.6041473187389668,4,0.9326431736671873
S&P 500 Top2 PIT membership,S&P 500,2,2020-08-31,2020-09-01,SELL,DXCM,Dexcom,2020-05-12,105.75499725341795,0.5,0.0,,,,0.9444511667163858
S&P 500 Top2 PIT membership,S&P 500,2,2020-08-31,2020-09-01,SELL,REGN,Regeneron Pharmaceuticals,2013-05-01,611.4988896145213,0.5,0.0,,,,0.9444511667163858
S&P 500 Top2 PIT membership,S&P 500,2,2020-08-31,2020-09-01,BUY,PYPL,PayPal,2015-07-20,204.49667436265264,0.0,0.5,1,0.7863521033887175,7,0.9444511667163858
S&P 500 Top2 PIT membership,S&P 500,2,2020-08-31,2020-09-01,BUY,WST,West Pharmaceutical Services,2020-05-22,281.3070470437857,0.0,0.5,2,0.7488257189701777,7,0.9444511667163858
S&P 500 Top2 PIT membership,S&P 500,2,2020-09-30,2020-10-01,SELL,PYPL,PayPal,2015-07-20,198.20032395667343,0.5,0.0,,,,0.9209341755118549
S&P 500 Top2 PIT membership,S&P 500,2,2020-09-30,2020-10-01,SELL,WST,West Pharmaceutical Services,2020-05-22,274.714157335425,0.5,0.0,,,,0.9209341755118549
S&P 500 Top2 PIT membership,S&P 500,2,2020-09-30,2020-10-01,BUY,APA,APA Corporation,1997-07-28,8.062786669038461,0.0,0.5,1,2.6992775260762403,5,0.9209341755118549
S&P 500 Top2 PIT membership,S&P 500,2,2020-09-30,2020-10-01,BUY,RCL,Royal Caribbean Group,2014-12-05,63.68565689786081,0.0,0.5,2,1.6713229063124841,5,0.9209341755118549
S&P 500 Top2 PIT membership,S&P 500,2,2020-10-30,2020-11-02,SELL,APA,APA Corporation,1997-07-28,7.247859145436521,0.5,0.0,,,,0.8060559853285668
S&P 500 Top2 PIT membership,S&P 500,2,2020-10-30,2020-11-02,SELL,RCL,Royal Caribbean Group,2014-12-05,53.76379022751103,0.5,0.0,,,,0.8060559853285668
S&P 500 Top2 PIT membership,S&P 500,2,2020-10-30,2020-11-02,BUY,FDX,FedEx,1980-12-31,237.1327523565141,0.0,0.5,1,1.210008043386798,8,0.8060559853285668
S&P 500 Top2 PIT membership,S&P 500,2,2020-10-30,2020-11-02,BUY,UPS,United Parcel Service,2002-07-22,126.69677496571082,0.0,0.5,2,0.8850904024192943,8,0.8060559853285668
S&P 500 Top2 PIT membership,S&P 500,2,2020-11-30,2020-12-01,SELL,UPS,United Parcel Service,2002-07-22,139.20697902593207,0.5,0.0,,,,0.8937161344611413
S&P 500 Top2 PIT membership,S&P 500,2,2020-11-30,2020-12-01,BUY,FCX,Freeport-McMoRan,2011-07-01,22.45014690815288,0.0,0.5,2,0.7928206190061486,5,0.8937161344611413
S&P 500 Top2 PIT membership,S&P 500,2,2020-12-31,2021-01-04,SELL,FCX,Freeport-McMoRan,2011-07-01,25.37519033330923,0.5,0.0,,,,0.8974168667965459
S&P 500 Top2 PIT membership,S&P 500,2,2020-12-31,2021-01-04,SELL,FDX,FedEx,1980-12-31,235.5830367380054,0.5,0.0,,,,0.8974168667965459
S&P 500 Top2 PIT membership,S&P 500,2,2020-12-31,2021-01-04,BUY,TSLA,"Tesla, Inc.",2020-12-21,239.82000732421875,0.0,0.5,1,1.419042607101007,1,0.8974168667965459
S&P 500 Top2 PIT membership,S&P 500,2,2020-12-31,2021-01-04,BUY,TPR,"Tapestry, Inc.",2004-09-01,28.224919916502746,0.0,0.5,2,1.1798618824343126,1,0.8974168667965459
S&P 500 Top2 PIT membership,S&P 500,2,2021-02-26,2021-03-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,230.0366668701172,0.5,0.0,,,,1.030126601853405
S&P 500 Top2 PIT membership,S&P 500,2,2021-02-26,2021-03-01,BUY,PSKY,Paramount Skydance Corporation,1994-09-30,57.31771763595699,0.0,0.5,2,1.038223165143663,1,1.030126601853405
S&P 500 Top2 PIT membership,S&P 500,2,2021-03-31,2021-04-01,SELL,PSKY,Paramount Skydance Corporation,1994-09-30,40.43833093010483,0.5,0.0,,,,0.8696777794542521
S&P 500 Top2 PIT membership,S&P 500,2,2021-03-31,2021-04-01,BUY,OXY,Occidental Petroleum,1957-03-04,25.161750799115698,0.0,0.5,1,1.7862411490673895,0,0.8696777794542521
S&P 500 Top2 PIT membership,S&P 500,2,2021-04-30,2021-05-03,SELL,TPR,"Tapestry, Inc.",2004-09-01,42.71617006244621,0.5,0.0,,,,0.9203296403564403
S&P 500 Top2 PIT membership,S&P 500,2,2021-04-30,2021-05-03,BUY,FANG,Diamondback Energy,2018-12-03,67.19346867456667,0.0,0.5,1,2.0395008671218466,1,0.9203296403564403
S&P 500 Top2 PIT membership,S&P 500,2,2021-05-28,2021-06-01,SELL,OXY,Occidental Petroleum,1957-03-04,25.0210282711944,0.5,0.0,,,,0.9384428938564229
S&P 500 Top2 PIT membership,S&P 500,2,2021-05-28,2021-06-01,BUY,STX,Seagate Technology,2012-07-02,84.61377437212967,0.0,0.5,2,0.6919538618175927,1,0.9384428938564229
S&P 500 Top2 PIT membership,S&P 500,2,2021-06-30,2021-07-01,SELL,FANG,Diamondback Energy,2018-12-03,78.46909363634184,0.5,0.0,,,,0.9640731343714478
S&P 500 Top2 PIT membership,S&P 500,2,2021-06-30,2021-07-01,SELL,STX,Seagate Technology,2012-07-02,75.94979599299293,0.5,0.0,,,,0.9640731343714478
S&P 500 Top2 PIT membership,S&P 500,2,2021-06-30,2021-07-01,BUY,NUE,Nucor,1985-04-30,90.27283835338012,0.0,0.5,1,1.1540872724972449,1,0.9640731343714478
S&P 500 Top2 PIT membership,S&P 500,2,2021-06-30,2021-07-01,BUY,DVN,Devon Energy,2000-08-30,23.82387214813704,0.0,0.5,2,0.9968798873468452,1,0.9640731343714478
S&P 500 Top2 PIT membership,S&P 500,2,2021-08-31,2021-09-01,SELL,DVN,Devon Energy,2000-08-30,23.116233472656265,0.5,0.0,,,,1.048109487703151
S&P 500 Top2 PIT membership,S&P 500,2,2021-08-31,2021-09-01,SELL,NUE,Nucor,1985-04-30,108.69037055348122,0.5,0.0,,,,1.048109487703151
S&P 500 Top2 PIT membership,S&P 500,2,2021-08-31,2021-09-01,BUY,MRNA,Moderna,2021-07-21,382.8370056152344,0.0,0.5,1,1.6414417171707538,1,1.048109487703151
S&P 500 Top2 PIT membership,S&P 500,2,2021-08-31,2021-09-01,BUY,FTNT,Fortinet,2018-10-11,63.507999420166016,0.0,0.5,2,0.6754178500113119,1,1.048109487703151
S&P 500 Top2 PIT membership,S&P 500,2,2021-10-29,2021-11-01,SELL,FTNT,Fortinet,2018-10-11,67.26799774169922,0.5,0.0,,,,1.0200880123193738
S&P 500 Top2 PIT membership,S&P 500,2,2021-10-29,2021-11-01,BUY,DVN,Devon Energy,2000-08-30,32.82587543846033,0.0,0.5,2,0.547637718247262,1,1.0200880123193738
S&P 500 Top2 PIT membership,S&P 500,2,2021-11-30,2021-12-01,SELL,DVN,Devon Energy,2000-08-30,35.15401080738168,0.5,0.0,,,,1.067708961928971
S&P 500 Top2 PIT membership,S&P 500,2,2021-11-30,2021-12-01,BUY,TSLA,"Tesla, Inc.",2020-12-21,386.8999938964844,0.0,0.5,1,0.840957230808149,1,1.067708961928971
S&P 500 Top2 PIT membership,S&P 500,2,2021-12-31,2022-01-03,SELL,MRNA,Moderna,2021-07-21,247.1199951171875,0.5,0.0,,,,0.9355306635230995
S&P 500 Top2 PIT membership,S&P 500,2,2021-12-31,2022-01-03,BUY,AMD,Advanced Micro Devices,2017-03-20,145.13999938964844,0.0,0.5,2,0.5745512715469978,2,0.9355306635230995
S&P 500 Top2 PIT membership,S&P 500,2,2022-01-31,2022-02-01,SELL,AMD,Advanced Micro Devices,2017-03-20,116.75,0.5,0.0,,,,0.7584431159640042
S&P 500 Top2 PIT membership,S&P 500,2,2022-01-31,2022-02-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,311.7366638183594,0.5,0.0,,,,0.7584431159640042
S&P 500 Top2 PIT membership,S&P 500,2,2022-01-31,2022-02-01,BUY,DVN,Devon Energy,2000-08-30,40.99303842787647,0.0,0.5,1,0.7764722643102326,2,0.7584431159640042
S&P 500 Top2 PIT membership,S&P 500,2,2022-01-31,2022-02-01,BUY,CF,CF Industries,2008-08-27,63.49343252483681,0.0,0.5,2,0.5810318021018837,2,0.7584431159640042
S&P 500 Top2 PIT membership,S&P 500,2,2022-02-28,2022-03-01,SELL,CF,CF Industries,2008-08-27,74.82593898005148,0.5,0.0,,,,0.9020363954656874
S&P 500 Top2 PIT membership,S&P 500,2,2022-02-28,2022-03-01,BUY,APA,APA Corporation,1997-07-28,31.60517965947619,0.0,0.5,1,0.769144965413536,0,0.9020363954656874
S&P 500 Top2 PIT membership,S&P 500,2,2022-04-29,2022-05-02,SELL,APA,APA Corporation,1997-07-28,35.20549644308862,0.5,0.0,,,,0.9407828823889198
S&P 500 Top2 PIT membership,S&P 500,2,2022-04-29,2022-05-02,SELL,DVN,Devon Energy,2000-08-30,47.62498187278123,0.5,0.0,,,,0.9407828823889198
S&P 500 Top2 PIT membership,S&P 500,2,2022-04-29,2022-05-02,BUY,CF,CF Industries,2008-08-27,87.8811997683611,0.0,0.5,1,0.7697676075160873,0,0.9407828823889198
S&P 500 Top2 PIT membership,S&P 500,2,2022-04-29,2022-05-02,BUY,OXY,Occidental Petroleum,1957-03-04,51.33543823229248,0.0,0.5,2,0.7036917334722681,0,0.9407828823889198
S&P 500 Top2 PIT membership,S&P 500,2,2022-05-31,2022-06-01,SELL,CF,CF Industries,2008-08-27,90.68659160278251,0.5,0.0,,,,1.0907650474149855
S&P 500 Top2 PIT membership,S&P 500,2,2022-05-31,2022-06-01,BUY,MOS,Mosaic Company (The),2011-09-26,55.892425767546605,0.0,0.5,2,0.7400417513109752,1,1.0907650474149855
S&P 500 Top2 PIT membership,S&P 500,2,2022-06-30,2022-07-01,SELL,MOS,Mosaic Company (The),2011-09-26,42.09116087489256,0.5,0.0,,,,0.8713201654834122
S&P 500 Top2 PIT membership,S&P 500,2,2022-06-30,2022-07-01,BUY,HAL,Halliburton,1957-03-04,29.10633077359296,0.0,0.5,2,0.7769718201804898,1,0.8713201654834122
S&P 500 Top2 PIT membership,S&P 500,2,2022-07-29,2022-08-01,SELL,HAL,Halliburton,1957-03-04,26.347038859509244,0.5,0.0,,,,0.8694777566686139
S&P 500 Top2 PIT membership,S&P 500,2,2022-07-29,2022-08-01,BUY,LLY,Lilly (Eli),1970-12-31,316.8201700626407,0.0,0.5,2,0.3747946002671949,2,0.8694777566686139
S&P 500 Top2 PIT membership,S&P 500,2,2022-08-31,2022-09-01,SELL,LLY,Lilly (Eli),1970-12-31,292.1259489542105,0.5,0.0,,,,0.8627451744526895
S&P 500 Top2 PIT membership,S&P 500,2,2022-08-31,2022-09-01,SELL,OXY,Occidental Petroleum,1957-03-04,65.30665209080266,0.5,0.0,,,,0.8627451744526895
S&P 500 Top2 PIT membership,S&P 500,2,2022-08-31,2022-09-01,BUY,EPAM,EPAM Systems,2021-12-14,421.0,0.0,0.5,1,0.4860300578915362,3,0.8627451744526895
S&P 500 Top2 PIT membership,S&P 500,2,2022-08-31,2022-09-01,BUY,VLO,Valero Energy,2002-12-20,103.77810931504058,0.0,0.5,2,0.36226771360019105,3,0.8627451744526895
S&P 500 Top2 PIT membership,S&P 500,2,2022-09-30,2022-10-03,SELL,VLO,Valero Energy,2002-12-20,99.00773849279952,0.5,0.0,,,,0.7874981200204525
S&P 500 Top2 PIT membership,S&P 500,2,2022-09-30,2022-10-03,BUY,CEG,Constellation Energy,2022-02-02,82.59680265111157,0.0,0.5,1,0.4566681544445226,2,0.7874981200204525
S&P 500 Top2 PIT membership,S&P 500,2,2022-10-31,2022-11-01,SELL,EPAM,EPAM Systems,2021-12-14,358.8399963378906,0.5,0.0,,,,0.8265109088216647
S&P 500 Top2 PIT membership,S&P 500,2,2022-10-31,2022-11-01,BUY,ALB,Albemarle Corporation,2016-07-01,272.0894637010911,0.0,0.5,2,0.38540179568821964,1,0.8265109088216647
S&P 500 Top2 PIT membership,S&P 500,2,2022-11-30,2022-12-01,SELL,ALB,Albemarle Corporation,2016-07-01,266.93639741825,0.5,0.0,,,,0.8310935638753352
S&P 500 Top2 PIT membership,S&P 500,2,2022-11-30,2022-12-01,SELL,CEG,Constellation Energy,2022-02-02,94.36842722864408,0.5,0.0,,,,0.8310935638753352
S&P 500 Top2 PIT membership,S&P 500,2,2022-11-30,2022-12-01,BUY,DXCM,Dexcom,2020-05-12,116.38999938964844,0.0,0.5,1,0.7020256640086218,2,0.8310935638753352
S&P 500 Top2 PIT membership,S&P 500,2,2022-11-30,2022-12-01,BUY,NFLX,Netflix,2010-12-20,30.39900016784668,0.0,0.5,2,0.5130371246307115,2,0.8310935638753352
S&P 500 Top2 PIT membership,S&P 500,2,2022-12-30,2023-01-03,SELL,DXCM,Dexcom,2020-05-12,114.3000030517578,0.5,0.0,,,,0.816905122134779
S&P 500 Top2 PIT membership,S&P 500,2,2022-12-30,2023-01-03,SELL,NFLX,Netflix,2010-12-20,29.80599975585937,0.5,0.0,,,,0.816905122134779
S&P 500 Top2 PIT membership,S&P 500,2,2022-12-30,2023-01-03,BUY,FSLR,First Solar,2022-12-19,151.00999450683594,0.0,0.5,1,1.5316213487358659,3,0.816905122134779
S&P 500 Top2 PIT membership,S&P 500,2,2022-12-30,2023-01-03,BUY,RCL,Royal Caribbean Group,2014-12-05,49.40403538964966,0.0,0.5,2,0.6982150757774217,3,0.816905122134779
S&P 500 Top2 PIT membership,S&P 500,2,2023-01-31,2023-02-01,SELL,RCL,Royal Caribbean Group,2014-12-05,63.539020776746575,0.5,0.0,,,,1.0069132024866474
S&P 500 Top2 PIT membership,S&P 500,2,2023-01-31,2023-02-01,BUY,PCG,PG&E Corporation,2022-10-03,15.574228908496174,0.0,0.5,1,0.4977084634897635,0,1.0069132024866474
S&P 500 Top2 PIT membership,S&P 500,2,2023-02-28,2023-03-01,SELL,FSLR,First Solar,2022-12-19,180.5500030517578,0.5,0.0,,,,1.0096800599796623
S&P 500 Top2 PIT membership,S&P 500,2,2023-02-28,2023-03-01,SELL,PCG,PG&E Corporation,2022-10-03,15.317942469581688,0.5,0.0,,,,1.0096800599796623
S&P 500 Top2 PIT membership,S&P 500,2,2023-02-28,2023-03-01,BUY,WYNN,Wynn Resorts,2008-11-14,106.65698007901824,0.0,0.5,1,0.6523345066860791,0,1.0096800599796623
S&P 500 Top2 PIT membership,S&P 500,2,2023-02-28,2023-03-01,BUY,NFLX,Netflix,2010-12-20,32.154998779296875,0.0,0.5,2,0.615773965168505,0,1.0096800599796623
S&P 500 Top2 PIT membership,S&P 500,2,2023-03-31,2023-04-03,SELL,NFLX,Netflix,2010-12-20,34.18299865722656,0.5,0.0,,,,1.0685186708398946
S&P 500 Top2 PIT membership,S&P 500,2,2023-03-31,2023-04-03,SELL,WYNN,Wynn Resorts,2008-11-14,111.86517317375188,0.5,0.0,,,,1.0685186708398946
S&P 500 Top2 PIT membership,S&P 500,2,2023-03-31,2023-04-03,BUY,NVDA,Nvidia,2001-11-30,27.48466960367856,0.0,0.5,1,0.9083440899136019,1,1.0685186708398946
S&P 500 Top2 PIT membership,S&P 500,2,2023-03-31,2023-04-03,BUY,STLD,Steel Dynamics,2022-12-22,108.25017327201078,0.0,0.5,2,0.8857855163992752,1,1.0685186708398946
S&P 500 Top2 PIT membership,S&P 500,2,2023-04-28,2023-05-01,SELL,STLD,Steel Dynamics,2022-12-22,99.4710481095818,0.5,0.0,,,,1.0332056904510383
S&P 500 Top2 PIT membership,S&P 500,2,2023-04-28,2023-05-01,BUY,WYNN,Wynn Resorts,2008-11-14,112.50531381396276,0.0,0.5,2,0.9088043518595843,0,1.0332056904510383
S&P 500 Top2 PIT membership,S&P 500,2,2023-05-31,2023-06-01,SELL,WYNN,Wynn Resorts,2008-11-14,94.7872413524304,0.5,0.0,,,,1.1247283438696525
S&P 500 Top2 PIT membership,S&P 500,2,2023-05-31,2023-06-01,BUY,META,Meta Platforms,2013-12-23,263.8295904214734,0.0,0.5,1,1.2355214284760017,0,1.1247283438696525
S&P 500 Top2 PIT membership,S&P 500,2,2023-09-29,2023-10-02,SELL,META,Meta Platforms,2013-12-23,300.3827511018216,0.5,0.0,,,,1.2909663946636027
S&P 500 Top2 PIT membership,S&P 500,2,2023-09-29,2023-10-02,BUY,LLY,Lilly (Eli),1970-12-31,525.8325364316904,0.0,0.5,2,0.6161122174844955,6,1.2909663946636027
S&P 500 Top2 PIT membership,S&P 500,2,2023-10-31,2023-11-01,SELL,LLY,Lilly (Eli),1970-12-31,544.4618540195787,0.5,0.0,,,,1.2674045092206565
S&P 500 Top2 PIT membership,S&P 500,2,2023-10-31,2023-11-01,BUY,TSLA,"Tesla, Inc.",2020-12-21,204.0399932861328,0.0,0.5,2,0.5694592348275416,6,1.2674045092206565
S&P 500 Top2 PIT membership,S&P 500,2,2023-11-30,2023-12-01,SELL,NVDA,Nvidia,2001-11-30,46.49249632095064,0.5,0.0,,,,1.4484371813741395
S&P 500 Top2 PIT membership,S&P 500,2,2023-11-30,2023-12-01,SELL,TSLA,"Tesla, Inc.",2020-12-21,233.13999938964844,0.5,0.0,,,,1.4484371813741395
S&P 500 Top2 PIT membership,S&P 500,2,2023-11-30,2023-12-01,BUY,MPC,Marathon Petroleum,2011-07-01,141.9306795546502,0.0,0.5,1,0.43588910865450003,8,1.4484371813741395
S&P 500 Top2 PIT membership,S&P 500,2,2023-11-30,2023-12-01,BUY,NRG,NRG Energy,2010-01-29,45.721602058548655,0.0,0.5,2,0.3331963533172606,8,1.4484371813741395
S&P 500 Top2 PIT membership,S&P 500,2,2023-12-29,2024-01-02,SELL,MPC,Marathon Petroleum,2011-07-01,142.1691560297636,0.5,0.0,,,,1.5069356682108666
S&P 500 Top2 PIT membership,S&P 500,2,2023-12-29,2024-01-02,SELL,NRG,NRG Energy,2010-01-29,49.34330563428925,0.5,0.0,,,,1.5069356682108666
S&P 500 Top2 PIT membership,S&P 500,2,2023-12-29,2024-01-02,BUY,KEY,KeyCorp,1994-03-01,12.82821430983199,0.0,0.5,1,0.39594300269812366,7,1.5069356682108666
S&P 500 Top2 PIT membership,S&P 500,2,2023-12-29,2024-01-02,BUY,ANET,Arista Networks,2018-08-28,58.5,0.0,0.5,2,0.3532025568028816,7,1.5069356682108666
S&P 500 Top2 PIT membership,S&P 500,2,2024-01-31,2024-02-01,SELL,ANET,Arista Networks,2018-08-28,65.5,0.5,0.0,,,,1.6104434465942425
S&P 500 Top2 PIT membership,S&P 500,2,2024-01-31,2024-02-01,SELL,KEY,KeyCorp,1994-03-01,13.052483324989105,0.5,0.0,,,,1.6104434465942425
S&P 500 Top2 PIT membership,S&P 500,2,2024-01-31,2024-02-01,BUY,INTC,Intel,1976-12-31,42.57974063356224,0.0,0.5,1,0.41331318681258944,6,1.6104434465942425
S&P 500 Top2 PIT membership,S&P 500,2,2024-01-31,2024-02-01,BUY,AXON,Axon Enterprise,2023-05-04,250.6499938964844,0.0,0.5,2,0.40909825992543314,6,1.6104434465942425
S&P 500 Top2 PIT membership,S&P 500,2,2024-02-29,2024-03-01,SELL,AXON,Axon Enterprise,2023-05-04,303.0,0.5,0.0,,,,1.783183155684949
S&P 500 Top2 PIT membership,S&P 500,2,2024-02-29,2024-03-01,SELL,INTC,Intel,1976-12-31,42.96185895503192,0.5,0.0,,,,1.783183155684949
S&P 500 Top2 PIT membership,S&P 500,2,2024-02-29,2024-03-01,BUY,AMD,Advanced Micro Devices,2017-03-20,197.91000366210935,0.0,0.5,1,0.6244335397754945,5,1.783183155684949
S&P 500 Top2 PIT membership,S&P 500,2,2024-02-29,2024-03-01,BUY,ALL,Allstate,1995-07-13,152.3376737508929,0.0,0.5,2,0.49065566978579,5,1.783183155684949
S&P 500 Top2 PIT membership,S&P 500,2,2024-03-28,2024-04-01,SELL,ALL,Allstate,1995-07-13,166.3927864127107,0.5,0.0,,,,1.783854689440596
S&P 500 Top2 PIT membership,S&P 500,2,2024-03-28,2024-04-01,SELL,AMD,Advanced Micro Devices,2017-03-20,180.10000610351562,0.5,0.0,,,,1.783854689440596
S&P 500 Top2 PIT membership,S&P 500,2,2024-03-28,2024-04-01,BUY,SMCI,Supermicro,2024-03-18,101.0,0.0,0.5,1,2.1705366252933804,3,1.783854689440596
S&P 500 Top2 PIT membership,S&P 500,2,2024-03-28,2024-04-01,BUY,NVDA,Nvidia,2001-11-30,90.248075338723,0.0,0.5,2,0.8289026171890554,3,1.783854689440596
S&P 500 Top2 PIT membership,S&P 500,2,2024-05-31,2024-06-03,SELL,NVDA,Nvidia,2001-11-30,113.55691490102478,0.5,0.0,,,,1.8002415478869898
S&P 500 Top2 PIT membership,S&P 500,2,2024-05-31,2024-06-03,BUY,VST,Vistra Corp.,2024-05-08,98.53895986460564,0.0,0.5,2,1.2211601491853097,1,1.8002415478869898
S&P 500 Top2 PIT membership,S&P 500,2,2024-07-31,2024-08-01,SELL,SMCI,Supermicro,2024-03-18,70.45600128173828,0.5,0.0,,,,1.5238671307676876
S&P 500 Top2 PIT membership,S&P 500,2,2024-07-31,2024-08-01,BUY,NVDA,Nvidia,2001-11-30,117.47335365334,0.0,0.5,2,0.9803746554966246,3,1.5238671307676876
S&P 500 Top2 PIT membership,S&P 500,2,2024-08-30,2024-09-03,SELL,NVDA,Nvidia,2001-11-30,115.95408600386334,0.5,0.0,,,,1.5709508000793668
S&P 500 Top2 PIT membership,S&P 500,2,2024-08-30,2024-09-03,SELL,VST,Vistra Corp.,2024-05-08,84.08526085347886,0.5,0.0,,,,1.5709508000793668
