date,action,ticker,score,reason
2024-02-26,BUY,UBER,0.7323880816,next_open_fill_open_slot
2024-02-27,SELL,UBER,0.7538048361,next_open_left_top_rank
2024-02-27,BUY,CVNA,0.8506355598,next_open_fill_open_slot
2024-02-28,SELL,VRT,0.7681796208,next_open_left_top_rank
2024-02-28,BUY,UBER,0.7914013112,next_open_fill_open_slot
2024-02-29,SELL,CVNA,0.6634339063,next_open_left_top_rank
2024-02-29,BUY,VST,0.7901495446,next_open_fill_open_slot
2024-03-01,SELL,UBER,0.7530320325,next_open_left_top_rank
2024-03-01,BUY,AMD,0.8176926181,next_open_fill_open_slot
2024-03-04,SELL,VST,0.7602423002,next_open_left_top_rank
2024-03-04,BUY,DELL,1.2598870097,next_open_fill_open_slot
2024-03-06,SELL,DELL,0.7442994383,next_open_left_top_rank
2024-03-06,BUY,VST,0.8745084731,next_open_fill_open_slot
2024-03-08,SELL,VST,0.9022799272,next_open_left_top_rank
2024-03-08,BUY,NVDA,0.9693909956,next_open_fill_open_slot
2024-03-11,SELL,NVDA,0.8931205628,next_open_left_top_rank
2024-03-11,BUY,COHR,0.9034277813,next_open_fill_open_slot
2024-03-12,SELL,COHR,0.8521084417,next_open_left_top_rank
2024-03-12,BUY,NVDA,0.8824179433,next_open_fill_open_slot
2024-03-13,SELL,CRWD,0.9111382079,next_open_left_top_rank
2024-03-13,BUY,COHR,0.9147120653,next_open_fill_open_slot
2024-03-14,SELL,AMD,0.8496818707,next_open_left_top_rank
2024-03-14,SELL,COHR,0.8855312461,next_open_left_top_rank
2024-03-14,BUY,WSM,1.0619725733,next_open_fill_open_slot
2024-03-14,BUY,CRWD,0.9576262834,next_open_fill_open_slot
2024-03-15,SELL,NVDA,0.9337333684,next_open_left_top_rank
2024-03-15,BUY,VRT,0.9973252336,next_open_fill_open_slot
2024-03-18,SELL,CRWD,0.8488256416,next_open_left_top_rank
2024-03-18,BUY,NVDA,0.9273127106,next_open_fill_open_slot
2024-03-27,SELL,WSM,0.9933831748,next_open_left_top_rank
2024-03-27,BUY,CVNA,1.2561490964,next_open_fill_open_slot
2024-04-02,SELL,NVDA,1.0974073388,next_open_left_top_rank
2024-04-02,BUY,VST,1.1592635377,next_open_fill_open_slot
2024-04-03,SELL,CVNA,0.9740352055,next_open_left_top_rank
2024-04-03,BUY,NVDA,1.0566925958,next_open_fill_open_slot
2024-04-04,SELL,NVDA,0.9868696366,next_open_left_top_rank
2024-04-04,BUY,CVNA,1.0993630245,next_open_fill_open_slot
2024-05-14,SELL,COIN,1.1485030497,next_open_left_top_rank
2024-05-14,BUY,APP,1.1766633589,next_open_fill_open_slot
2024-05-15,SELL,APP,0.9054578830,next_open_left_top_rank
2024-05-15,BUY,HOOD,1.1895506027,next_open_fill_open_slot
2024-05-16,SELL,HOOD,1.2286401351,next_open_left_top_rank
2024-05-16,BUY,COIN,1.3738126631,next_open_fill_open_slot
2024-05-20,SELL,COIN,1.1151299325,next_open_left_top_rank
2024-05-20,BUY,HOOD,1.4117647463,next_open_fill_open_slot
2024-05-21,SELL,VRT,1.3204611730,next_open_left_top_rank
2024-05-21,BUY,COIN,1.3234627187,next_open_fill_open_slot
2024-05-22,SELL,COIN,1.2794547382,next_open_left_top_rank
2024-05-22,BUY,VRT,1.2919464155,next_open_fill_open_slot
2024-06-04,SELL,VRT,1.2032908389,next_open_left_top_rank
2024-06-04,BUY,NVDA,1.4591720360,next_open_fill_open_slot
2024-06-07,SELL,HOOD,1.1813865048,next_open_left_top_rank
2024-06-07,BUY,APP,1.2452118706,next_open_fill_open_slot
2024-06-20,SELL,APP,1.0235292815,next_open_left_top_rank
2024-06-20,BUY,DELL,1.0999574669,next_open_fill_open_slot
2024-06-26,SELL,DELL,0.8789865593,next_open_left_top_rank
2024-06-26,BUY,VRT,0.8891726298,next_open_fill_open_slot
2024-06-27,SELL,VRT,0.7848122580,next_open_left_top_rank
2024-06-27,BUY,APP,0.9529241724,next_open_fill_open_slot
2024-07-17,SELL,APP,1.0745624713,next_open_left_top_rank
2024-07-17,BUY,HOOD,1.2350270542,next_open_fill_open_slot
2024-07-18,SELL,VST,0.9496943699,next_open_left_top_rank
2024-07-18,BUY,APP,0.9693025549,next_open_fill_open_slot
2024-07-22,SELL,APP,0.8983523500,next_open_left_top_rank
2024-07-22,BUY,COIN,1.0732669787,next_open_fill_open_slot
2024-07-23,SELL,SMCI,0.8572373647,next_open_left_top_rank
2024-07-23,BUY,APP,1.0233349319,next_open_fill_open_slot
2024-07-24,SELL,APP,0.9331103320,next_open_left_top_rank
2024-07-24,BUY,VST,1.0153977516,next_open_fill_open_slot
2024-07-31,SELL,NVDA,0.6608242974,next_open_left_top_rank
2024-07-31,BUY,HWM,0.6842441683,next_open_fill_open_slot
2024-08-01,SELL,COIN,0.7150281918,next_open_left_top_rank
2024-08-01,SELL,HWM,0.7120382499,next_open_left_top_rank
2024-08-01,BUY,NVDA,0.8643882534,next_open_fill_open_slot
2024-08-01,BUY,APP,0.8153990171,next_open_fill_open_slot
2024-08-05,SELL,HOOD,0.6388633740,next_open_left_top_rank
2024-08-05,BUY,TPL,0.6492333418,next_open_fill_open_slot
2024-08-06,SELL,NVDA,0.5184848979,next_open_left_top_rank
2024-08-06,SELL,APP,0.4640209005,next_open_left_top_rank
2024-08-06,BUY,MMM,0.6081083311,next_open_fill_open_slot
2024-08-06,BUY,IRM,0.5330741934,next_open_fill_open_slot
2024-08-07,SELL,IRM,0.5795370109,next_open_left_top_rank
2024-08-07,BUY,COIN,0.6553281596,next_open_fill_open_slot
2024-08-08,SELL,COIN,,next_open_left_top_rank
2024-08-08,BUY,HOOD,0.5881262767,next_open_fill_open_slot
2024-08-12,SELL,HOOD,0.5971479189,next_open_left_top_rank
2024-08-12,BUY,APP,0.6622985719,next_open_fill_open_slot
2024-08-19,SELL,APP,0.4760683500,next_open_left_top_rank
2024-08-19,BUY,NVDA,0.7148295933,next_open_fill_open_slot
2024-08-22,SELL,TPL,0.6558137241,next_open_left_top_rank
2024-08-22,BUY,IRM,0.6614320316,next_open_fill_open_slot
2024-08-23,SELL,NVDA,0.5757461354,next_open_left_top_rank
2024-08-23,SELL,IRM,0.5887461778,next_open_left_top_rank
2024-08-23,BUY,NEM,0.6874932487,next_open_fill_open_slot
2024-08-23,BUY,TPL,0.6212761566,next_open_fill_open_slot
2024-08-29,SELL,VST,0.5654504662,next_open_left_top_rank
2024-08-29,BUY,NVDA,0.6175812864,next_open_fill_open_slot
2024-08-30,SELL,NVDA,0.4865651340,next_open_left_top_rank
2024-08-30,BUY,VST,0.5618502431,next_open_fill_open_slot
2024-09-04,SELL,VST,0.3370624186,next_open_left_top_rank
2024-09-04,BUY,TRGP,0.5020923077,next_open_fill_open_slot
2024-09-05,SELL,TRGP,0.4527233688,next_open_left_top_rank
2024-09-05,BUY,CHRW,0.5055027021,next_open_fill_open_slot
2024-09-06,SELL,CHRW,0.4298866050,next_open_left_top_rank
2024-09-06,BUY,SATS,0.6430678464,next_open_fill_open_slot
2024-09-11,SELL,SATS,0.4098360656,next_open_left_top_rank
2024-09-11,BUY,VTR,0.4872780769,next_open_fill_open_slot
2024-09-12,SELL,NEM,0.5139638015,next_open_left_top_rank
2024-09-12,BUY,APP,0.5966290087,next_open_fill_open_slot
2024-09-13,SELL,TPL,0.5094360961,next_open_left_top_rank
2024-09-13,BUY,NEM,0.5553225780,next_open_fill_open_slot
2024-09-16,SELL,VTR,0.5571781852,next_open_left_top_rank
2024-09-16,BUY,SATS,0.7176220992,next_open_fill_open_slot
2024-09-17,SELL,MMM,0.5522436967,next_open_left_top_rank
2024-09-17,BUY,FSLR,0.5826210857,next_open_fill_open_slot
2024-09-18,SELL,NEM,0.5598180661,next_open_left_top_rank
2024-09-18,BUY,TPL,0.5959344265,next_open_fill_open_slot
2024-09-19,SELL,TPL,0.5958870610,next_open_left_top_rank
2024-09-19,BUY,NEM,0.5982832300,next_open_fill_open_slot
2024-09-20,SELL,NEM,0.5773588941,next_open_left_top_rank
2024-09-20,BUY,TPL,0.6514858129,next_open_fill_open_slot
2024-09-23,SELL,FSLR,0.5732251013,next_open_left_top_rank
2024-09-23,BUY,NEM,0.5946645294,next_open_fill_open_slot
2024-09-26,SELL,NEM,0.6430106699,next_open_left_top_rank
2024-09-26,BUY,VST,0.7627571490,next_open_fill_open_slot
2024-09-27,SELL,TPL,0.5422645512,next_open_left_top_rank
2024-09-27,BUY,GEV,0.9140567403,next_open_fill_open_slot
2024-10-10,SELL,VST,0.7636943680,next_open_left_top_rank
2024-10-10,BUY,PLTR,0.9237288547,next_open_fill_open_slot
2024-10-11,SELL,SATS,0.7633217909,next_open_left_top_rank
2024-10-11,BUY,GL,1.1758315150,next_open_fill_open_slot
2024-10-14,SELL,GL,0.8335198531,next_open_left_top_rank
2024-10-14,BUY,COHR,0.9518657784,next_open_fill_open_slot
2024-10-16,SELL,COHR,0.8948161751,next_open_left_top_rank
2024-10-16,BUY,VST,0.9072411207,next_open_fill_open_slot
2024-10-18,SELL,VST,0.9414756236,next_open_left_top_rank
2024-10-18,BUY,COHR,1.0013725430,next_open_fill_open_slot
2024-10-21,SELL,COHR,0.9941130066,next_open_left_top_rank
2024-10-21,BUY,VST,1.0075207105,next_open_fill_open_slot
2024-10-23,SELL,VST,0.8358407790,next_open_left_top_rank
2024-10-23,BUY,TPL,0.8890642849,next_open_fill_open_slot
2024-10-24,SELL,TPL,0.8723159310,next_open_left_top_rank
2024-10-24,BUY,COHR,0.8775432353,next_open_fill_open_slot
2024-10-25,SELL,COHR,0.8288577370,next_open_left_top_rank
2024-10-25,BUY,TPL,0.8726065181,next_open_fill_open_slot
2024-11-08,SELL,CVNA,1.0050659343,next_open_left_top_rank
2024-11-08,BUY,COHR,1.0075201033,next_open_fill_open_slot
2024-11-11,SELL,GEV,1.0396965515,next_open_left_top_rank
2024-11-11,BUY,CVNA,1.0884615269,next_open_fill_open_slot
2024-11-12,SELL,COHR,0.9251425460,next_open_left_top_rank
2024-11-12,BUY,GEV,1.1633132863,next_open_fill_open_slot
2024-11-13,SELL,GEV,0.9544163274,next_open_left_top_rank
2024-11-13,BUY,AXON,1.0076233213,next_open_fill_open_slot
2024-11-14,SELL,CVNA,0.9821589573,next_open_left_top_rank
2024-11-14,BUY,GEV,0.9852270312,next_open_fill_open_slot
2024-11-15,SELL,GEV,0.9593750452,next_open_left_top_rank
2024-11-15,BUY,CVNA,1.0388366128,next_open_fill_open_slot
2024-12-10,SELL,TPL,0.8644574452,next_open_left_top_rank
2024-12-10,BUY,TSLA,1.2428794729,next_open_fill_open_slot
2024-12-20,SELL,CVNA,0.9734490448,next_open_left_top_rank
2024-12-20,BUY,UAL,0.9833955366,next_open_fill_open_slot
