Strategy,Family,Source file,Curve column,Notes,In-sample actual range,Out-of-sample actual range,In-sample cumulative return %,In-sample max drawdown %,In-sample Sharpe,Out-of-sample cumulative return %,Out-of-sample max drawdown %,Out-of-sample Sharpe
Cash regime: best return with max DD <= 40%,Cash regime,reports\soxl_tqqq_cash_regime_best_return_dd40_daily.csv,equity,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,942.65,-38.31,0.88,2848.12,-38.87,1.33
Cash regime: best 2022 loss control,Cash regime,reports\soxl_tqqq_cash_regime_best_2022_loss_control_daily.csv,equity,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,2019.21,-56.08,0.91,9229.3,-50.78,1.39
New cash balanced strategy,Cash regime,reports\soxl_tqqq_cash_regime_best_balanced_daily.csv,equity,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,2523.18,-52.16,0.95,10570.12,-50.78,1.42
Cash regime: best Calmar,Cash regime,reports\soxl_tqqq_cash_regime_best_calmar_daily.csv,equity,,2010-06-25 to 2019-12-31,2020-01-02 to 2026-05-20,1014.94,-53.88,0.8,3402.19,-48.8,1.2
Cash + deep DCA: best full-period return with DD <= 50%,Cash + DCA,reports\soxl_tqqq_cash_dca_deep_best_2010_balanced_daily.csv,equity,,2010-07-01 to 2019-12-31,2020-01-02 to 2026-05-22,1921.01,-41.54,0.94,9378.08,-48.24,1.37
Cash + deep DCA: best 2020-to-date return with DD <= 50%,Cash + DCA,reports\soxl_tqqq_cash_dca_deep_best_2020_balanced_daily.csv,equity,,2010-07-01 to 2019-12-31,2020-01-02 to 2026-05-22,1099.35,-51.22,0.79,19768.82,-48.24,1.51
Cash + deep DCA: best 2022 loss control,Cash + DCA,reports\soxl_tqqq_cash_dca_deep_best_2020_2022_control_daily.csv,equity,,2010-07-01 to 2019-12-31,2020-01-02 to 2026-05-22,634.19,-53.55,0.68,24716.33,-64.06,1.42
Cash + deep DCA: best Calmar 2010,Cash + DCA,reports\soxl_tqqq_cash_dca_deep_best_calmar_2010_daily.csv,equity,,2010-07-01 to 2019-12-31,2020-01-02 to 2026-05-22,1948.83,-51.22,0.91,20851.26,-56.16,1.48
Cash + deep DCA: best Calmar 2020,Cash + DCA,reports\soxl_tqqq_cash_dca_deep_best_calmar_2020_daily.csv,equity,,2010-07-01 to 2019-12-31,2020-01-02 to 2026-05-22,1948.83,-51.22,0.91,20851.26,-56.16,1.48
Cash + deep DCA: best raw full-period return,Cash + DCA,reports\soxl_tqqq_cash_dca_deep_best_raw_2010_daily.csv,equity,,2010-07-01 to 2019-12-31,2020-01-02 to 2026-05-22,2743.94,-57.77,0.95,37007.67,-71.83,1.45
Cash + deep DCA: best raw 2020 return,Cash + DCA,reports\soxl_tqqq_cash_dca_deep_best_raw_2020_daily.csv,equity,,2010-07-01 to 2019-12-31,2020-01-02 to 2026-05-22,2202.77,-55.72,0.92,44797.8,-70.05,1.49
