Ticker,Company,ICB Industry[14],ICB Subsector[14],Symbol,Yahoo Symbol,ticker,nasdaq100_date_added,nasdaq100_added_security,date_source
CTAS,Cintas,Industrials,Garments & Clothing,CTAS,CTAS,CTAS,2016-12-19,Cintas,Wikipedia Nasdaq-100 changes table
CSCO,Cisco,Telecommunications,Computer Communications Equipment,CSCO,CSCO,CSCO,,,No add date found; assumed already member before test window
CCEP,Coca-Cola Europacific Partners,Consumer Staples,Soft Drinks,CCEP,CCEP,CCEP,2023-12-18,Coca-Cola Europacific Partners,Wikipedia Nasdaq-100 changes table
CTSH,Cognizant,Technology,EDP Services,CTSH,CTSH,CTSH,,,No add date found; assumed already member before test window
CMCSA,Comcast,Telecommunications,Cable & Other Pay Television Services,CMCSA,CMCSA,CMCSA,,,No add date found; assumed already member before test window
CEG,Constellation Energy,Utilities,Electric Utilities,CEG,CEG,CEG,2022-02-02,Constellation Energy,Wikipedia Nasdaq-100 changes table
CPRT,Copart,Consumer Discretionary,Retail,CPRT,CPRT,CPRT,2019-12-23,Copart,Wikipedia Nasdaq-100 changes table
CSGP,CoStar Group,Real Estate,Real Estate,CSGP,CSGP,CSGP,2022-12-19,CoStar Group,Wikipedia Nasdaq-100 changes table
COST,Costco,Consumer Discretionary,Department/Specialty Retail Stores,COST,COST,COST,,,No add date found; assumed already member before test window
CRWD,CrowdStrike,Technology,Computer Software,CRWD,CRWD,CRWD,2021-08-26,Crowdstrike,Wikipedia Nasdaq-100 changes table
CSX,CSX Corporation,Industrials,Railroads,CSX,CSX,CSX,2016-02-16,CSX Corporation,Wikipedia Nasdaq-100 changes table
DDOG,Datadog,Technology,Computer Software,DDOG,DDOG,DDOG,2021-12-20,Datadog,Wikipedia Nasdaq-100 changes table
DXCM,DexCom,Health Care,Medical/Dental Instruments,DXCM,DXCM,DXCM,2020-04-20,Dexcom,Wikipedia Nasdaq-100 changes table
FANG,Diamondback Energy,Energy,Oil & Gas Production,FANG,FANG,FANG,2022-12-19,Diamondback Energy,Wikipedia Nasdaq-100 changes table
DASH,DoorDash,Technology,EDP Services,DASH,DASH,DASH,2023-12-18,DoorDash,Wikipedia Nasdaq-100 changes table
EA,Electronic Arts,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,EA,EA,EA,2014-12-22,Electronic Arts,Wikipedia Nasdaq-100 changes table
EXC,Exelon,Utilities,Power Generation,EXC,EXC,EXC,2019-11-21,Exelon,Wikipedia Nasdaq-100 changes table
FAST,Fastenal,Industrials,Construction & Materials,FAST,FAST,FAST,,,No add date found; assumed already member before test window
FER,Ferrovial,Industrials,"Military, Government, Technical",FER,FER,FER,2025-12-22,Ferrovial SE,Wikipedia Nasdaq-100 changes table
FTNT,Fortinet,Technology,Computer Peripheral Equipment,FTNT,FTNT,FTNT,2021-12-20,Fortinet,Wikipedia Nasdaq-100 changes table
GEHC,GE HealthCare,Health Care,Medical Electronics,GEHC,GEHC,GEHC,2023-06-07,GE HealthCare,Wikipedia Nasdaq-100 changes table
GILD,Gilead Sciences,Health Care,Biotechnology,GILD,GILD,GILD,,,No add date found; assumed already member before test window
HON,Honeywell,Industrials,Aerospace,HON,HON,HON,2021-07-21,Honeywell,Wikipedia Nasdaq-100 changes table
IDXX,Idexx Laboratories,Health Care,Biotechnology,IDXX,IDXX,IDXX,2017-03-20,Idexx Laboratories,Wikipedia Nasdaq-100 changes table
INSM,Insmed Incorporated,Health Care,Biotechnology,INSM,INSM,INSM,2025-12-22,Insmed Incorporated,Wikipedia Nasdaq-100 changes table
INTC,Intel,Technology,Semiconductors,INTC,INTC,INTC,,,No add date found; assumed already member before test window
INTU,Intuit,Technology,Computer Software,INTU,INTU,INTU,,,No add date found; assumed already member before test window
ISRG,Intuitive Surgical,Health Care,Industrial Specialties,ISRG,ISRG,ISRG,,,No add date found; assumed already member before test window
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,KDP,KDP,KDP,2020-10-19,Keurig Dr Pepper,Wikipedia Nasdaq-100 changes table
KLAC,KLA Corporation,Technology,Electronic Components,KLAC,KLAC,KLAC,2016-12-19,KLA-Tencor,Wikipedia Nasdaq-100 changes table
KHC,Kraft Heinz,Consumer Staples,Packaged Foods,KHC,KHC,KHC,2015-07-02,Kraft Heinz,Wikipedia Nasdaq-100 changes table
LRCX,Lam Research,Technology,Industrial Machinery,LRCX,LRCX,LRCX,2014-12-22,Lam Research,Wikipedia Nasdaq-100 changes table
LIN,Linde plc,Basic Materials,Major Chemicals,LIN,LIN,LIN,2024-03-18,Linde,Wikipedia Nasdaq-100 changes table
MAR,Marriott International,Consumer Discretionary,Hotels/Resorts,MAR,MAR,MAR,2013-11-18,Marriott International,Wikipedia Nasdaq-100 changes table
MRVL,Marvell Technology,Technology,Semiconductors,MRVL,MRVL,MRVL,2020-12-21,Marvell Technology,Wikipedia Nasdaq-100 changes table
MELI,Mercado Libre,Consumer Discretionary,Catalog/Specialty Distribution,MELI,MELI,MELI,2017-06-19,MercadoLibre,Wikipedia Nasdaq-100 changes table
META,Meta Platforms,Technology,Computer Software,META,META,META,,,No add date found; assumed already member before test window
MCHP,Microchip Technology,Technology,Semiconductors,MCHP,MCHP,MCHP,2016-07-18,Microchip Technology,Wikipedia Nasdaq-100 changes table
MU,Micron Technology,Technology,Semiconductors,MU,MU,MU,2010-12-20,Micron Technology,Wikipedia Nasdaq-100 changes table
MSFT,Microsoft,Technology,Computer Software,MSFT,MSFT,MSFT,,,No add date found; assumed already member before test window
MSTR,MicroStrategy,Technology,Computer Software,MSTR,MSTR,MSTR,2024-12-23,MicroStrategy,Wikipedia Nasdaq-100 changes table
MDLZ,Mondelez International,Consumer Staples,Packaged Foods,MDLZ,MDLZ,MDLZ,,,No add date found; assumed already member before test window
MPWR,Monolithic Power Systems,Technology,Semiconductors,MPWR,MPWR,MPWR,2025-12-22,Monolithic Power Systems,Wikipedia Nasdaq-100 changes table
MNST,Monster Beverage,Consumer Staples,Soft Drinks,MNST,MNST,MNST,,,No add date found; assumed already member before test window
NFLX,"Netflix, Inc.",Consumer Discretionary,Consumer Electronics,NFLX,NFLX,NFLX,2013-06-06,Netflix,Wikipedia Nasdaq-100 changes table
NVDA,Nvidia,Technology,Semiconductors,NVDA,NVDA,NVDA,,,No add date found; assumed already member before test window
NXPI,NXP Semiconductors,Technology,Semiconductors,NXPI,NXPI,NXPI,2018-11-05,NXP Semiconductors,Wikipedia Nasdaq-100 changes table
ORLY,O'Reilly Automotive,Consumer Discretionary,Auto & Home Supply Stores,ORLY,ORLY,ORLY,2008-12-22,O'Reilly Auto Parts,Wikipedia Nasdaq-100 changes table
ODFL,Old Dominion Freight Line,Industrials,Trucking Freight/Courier Services,ODFL,ODFL,ODFL,2022-01-24,Old Dominion Freight Line,Wikipedia Nasdaq-100 changes table
PCAR,Paccar,Consumer Discretionary,Motor Vehicles,PCAR,PCAR,PCAR,,,No add date found; assumed already member before test window
PLTR,Palantir Technologies,Technology,Computer Software,PLTR,PLTR,PLTR,2024-12-23,Palantir Technologies,Wikipedia Nasdaq-100 changes table
PANW,Palo Alto Networks,Technology,Computer Peripheral Equipment,PANW,PANW,PANW,2021-12-20,Palo Alto Networks,Wikipedia Nasdaq-100 changes table
PAYX,Paychex,Industrials,Diversified Commercial Services,PAYX,PAYX,PAYX,,,No add date found; assumed already member before test window
PYPL,PayPal,Industrials,Diversified Commercial Services,PYPL,PYPL,PYPL,2015-11-11,PayPal,Wikipedia Nasdaq-100 changes table
PDD,PDD Holdings,Technology,EDP Services,PDD,PDD,PDD,2020-08-24,Pinduoduo,Wikipedia Nasdaq-100 changes table
PEP,PepsiCo,Consumer Staples,Soft Drinks,PEP,PEP,PEP,2018-07-23,PepsiCo,Wikipedia Nasdaq-100 changes table
QCOM,Qualcomm,Technology,Broadcasting & Communications Equipment,QCOM,QCOM,QCOM,,,No add date found; assumed already member before test window
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,REGN,REGN,REGN,2012-12-24,Regeneron Pharmaceuticals,Wikipedia Nasdaq-100 changes table
ROP,Roper Technologies,Technology,Computer Software,ROP,ROP,ROP,2023-12-18,Roper Technologies,Wikipedia Nasdaq-100 changes table
ROST,Ross Stores,Consumer Discretionary,Clothing/Shoe/Accessory Stores,ROST,ROST,ROST,2008-12-22,Ross Stores,Wikipedia Nasdaq-100 changes table
SNDK,Sandisk,Technology,Electronic Components,SNDK,SNDK,SNDK,2026-04-20,Sandisk,Wikipedia Nasdaq-100 changes table
STX,Seagate Technology,Technology,Electronic Components,STX,STX,STX,2025-12-22,Seagate Technology Holdings,Wikipedia Nasdaq-100 changes table
SHOP,Shopify,Technology,Computer Software,SHOP,SHOP,SHOP,2025-05-19,Shopify,Wikipedia Nasdaq-100 changes table
SBUX,Starbucks,Consumer Discretionary,Restaurants,SBUX,SBUX,SBUX,,,No add date found; assumed already member before test window
SNPS,Synopsys,Technology,Computer Software,SNPS,SNPS,SNPS,2017-12-18,Synopsys,Wikipedia Nasdaq-100 changes table
TMUS,T-Mobile US,Telecommunications,Telecommunications Service Providers,TMUS,TMUS,TMUS,2015-12-21,T-Mobile US,Wikipedia Nasdaq-100 changes table
TTWO,Take-Two Interactive,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,TTWO,TTWO,TTWO,2023-12-14,Take-Two Interactive,Wikipedia Nasdaq-100 changes table
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobiles & Parts,TSLA,TSLA,TSLA,2013-07-15,Tesla Motors,Wikipedia Nasdaq-100 changes table
TXN,Texas Instruments,Technology,Semiconductors,TXN,TXN,TXN,2012-04-23,Texas Instruments,Wikipedia Nasdaq-100 changes table
TRI,Thomson Reuters,Technology,Computer Software,TRI,TRI,TRI,2025-07-28,Thomson Reuters,Wikipedia Nasdaq-100 changes table
VRSK,Verisk Analytics,Industrials,Diversified Commercial Services,VRSK,VRSK,VRSK,2012-12-24,Verisk Analytics,Wikipedia Nasdaq-100 changes table
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,VRTX,VRTX,VRTX,,,No add date found; assumed already member before test window
WMT,Walmart,Consumer Discretionary,Department/Specialty Retail Stores,WMT,WMT,WMT,2026-01-20,Walmart,Wikipedia Nasdaq-100 changes table
WBD,Warner Bros. Discovery,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,WBD,WBD,WBD,2022-12-19,Warner Bros. Discovery,Wikipedia Nasdaq-100 changes table
WDC,Western Digital,Technology,Electronic Components,WDC,WDC,WDC,2025-12-22,Western Digital,Wikipedia Nasdaq-100 changes table
WDAY,"Workday, Inc.",Technology,EDP Services,WDAY,WDAY,WDAY,2017-12-18,Workday,Wikipedia Nasdaq-100 changes table
XEL,Xcel Energy,Utilities,Power Generation,XEL,XEL,XEL,2018-11-19,Xcel Energy,Wikipedia Nasdaq-100 changes table
ZS,Zscaler,Technology,EDP Services,ZS,ZS,ZS,2021-12-20,Zscaler,Wikipedia Nasdaq-100 changes table
